MAARSY3D antenna positions V6,,,,,,,,,,,,,,,,,,
Group,Antenna,x/m,y/m,z/m,Lat/°,Lon/°,,UTM-33 - x ,UTM-33 -y,,z1/cm,z2/cm,z3/cm,z-z0/cm,,ext. coax cable,RCU,RCU
,,0.00,0.00,49.000,69.0089129955,15.1424765870,,505695.929298,7655362.592212,,136.0,232.0,47.5,,,"xy",x,y
1,,19.02,46.42,,69.0093304968,15.1429541272,,505714.911929,7655409.189827,,,,,,,,,
,1,19.02,50.35,49.265,69.0093657729,15.1429541272,,505714.902766,7655413.123266,,109.5,,,26.5,,1,2,3
,2,22.42,48.39,49.005,69.0093481348,15.1430394109,,505718.316747,7655411.164486,,135.5,,,0.5,,2,4,5
,3,22.42,44.46,48.900,69.0093128588,15.1430394108,,505718.325911,7655407.231057,,146.0,,,-10.0,,3,6,7
,4,19.02,42.50,48.940,69.0092952207,15.1429541272,,505714.921092,7655405.256388,,142.0,,,-6.0,,4,8,9
,5,15.62,44.46,49.100,69.0093128588,15.1428688437,,505711.507113,7655407.215173,,126.0,,,10.0,,5,10,11
,6,15.62,48.39,49.255,69.0093481348,15.1428688435,,505711.497948,7655411.148602,,110.5,,23.0,25.5,,6,12,13
2,,23.89,19.39,,69.0090874068,15.1430763868,,505719.862718,7655382.095621,,,,,,,,,
,7,23.89,23.32,48.405,69.0091226829,15.1430763868,,505719.853548,7655386.029060,,,,107.0,-59.5,,7,14,15
,8,27.29,21.36,48.410,69.0091050448,15.1431616696,,505723.267534,7655384.070286,,,,106.5,-59.0,,8,16,17
,9,27.29,17.43,48.410,69.0090697688,15.1431616695,,505723.276706,7655380.136858,,,,106.5,-59.0,,9,18,19
,10,23.89,15.47,48.360,69.0090521308,15.1430763868,,505719.871889,7655378.162193,,,,111.5,-64.0,,10,20,21
,11,20.49,17.43,48.435,69.0090697688,15.1429911042,,505716.457905,7655380.120961,,,,104.0,-56.5,,11,22,23
,12,20.49,21.36,48.500,69.0091050448,15.1429911041,,505716.448736,7655384.054389,,,,97.5,-50.0,,12,24,25
3,,15.87,-31.87,,69.0086263922,15.1428748899,,505711.927030,7655330.671715,,,,,,,,,
,13,15.87,-27.95,48.280,69.0086616683,15.1428748899,,505711.917872,7655334.605153,,,,119.5,-72.0,,13,26,27
